deep_temp_c,surface_temp_c,intake_depth_m,pipe_diameter_m,pipe_length_m,vertical_lift_height_m,number_of_pipes,it_load_mw,delta_t_c,hx_pressure_drop_kpa,pipe_roughness_mm,turbine_efficiency,pump_efficiency,mass_flow_kg_s,volumetric_flow_m3_s,velocity_ms,rho_cold_kgm3,rho_hot_kgm3,buoyancy_pressure_pa,buoyancy_head_m,friction_losses_pa,heat_exchanger_losses_pa,total_losses_pa,net_head_m,turbine_generation_mw,pump_energy_mw,aux_energy_mw,hydra_net_energy_mw,baseline_cooling_energy_mw,baseline_cooling_fraction,energy_savings_fraction,gravity_assist_fraction,pump_offset_fraction,required_velocity_ms,natural_velocity_ms,required_flow_capacity_ratio,natural_cooling_capacity_ratio,pressure_balance_ratio,classification,failure_mode,constraint_flags,issue_count,cooling_works,passive_natural_feasible,requires_pump_assist,circulation_regime,success_layer,turbine_recovery_active,meets_10pct_target,scenario_family
4.5,24.0,60.0,1.2,90.0,250.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.5412788869771,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,1596.91090354149,10000.0,11596.91090354149,1.3129845816508476,0.013709393856869014,0.0,1.6,1.586290606143131,8.54,0.0427,0.8142516854633336,1.0,1.0,0.5412788869771,1.7415389028939952,5.542429368997209,3.2174521208836184,2.1359351818798524,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.0,90.0,250.0,3,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.519627731498016,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,1735.6107001902028,10000.0,11735.610700190202,1.299160395304136,0.01356505003286193,0.0,1.6,1.586434949967138,8.54,0.0427,0.8142347833762132,1.0,1.0,0.519627731498016,1.6089194194721028,5.773363926038758,3.09629244542782,2.1106911802722697,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.2,144.0,250.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.5412788869771,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,1779.1515239529658,10000.0,11779.151523952965,1.2948206884269136,0.013519737428559754,0.0,1.6,1.5864802625714403,8.54,0.0427,0.814229477450651,1.0,1.0,0.5412788869771,1.6501655467281946,5.542429368997209,3.0486419966312273,2.1028891554395837,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.0,144.0,250.0,3,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.519627731498016,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,1945.476806021018,10000.0,11945.476806021019,1.278243074407034,0.013346643971879608,0.0,1.6,1.5866533560281204,8.54,0.0427,0.8142092088960046,1.0,1.0,0.519627731498016,1.5188869298586007,5.773363926038758,2.9230290028591357,2.0736091494912197,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.5,90.0,250.0,1,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.692836975330688,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,2127.6146521158266,10000.0,12127.614652115826,1.2600894246826555,0.01315709450002044,0.0,1.6,1.5868429054999795,8.54,0.0427,0.8141870134074966,1.0,1.0,0.692836975330688,1.9034271934783773,4.330022944529069,2.7472944736673153,2.042466776076104,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,250.0,1.2,300.0,250.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.5412788869771,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,2305.624427363896,10000.0,12305.624427363895,1.242347219113327,0.012971841080110789,0.0,1.6,1.5870281589198894,8.54,0.0427,0.814165320969568,1.0,1.0,0.5412788869771,1.4473430034891297,5.542429368997209,2.6739321231835937,2.0129210139811335,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.5,144.0,250.0,1,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.692836975330688,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,2348.570433711772,10000.0,12348.570433711771,1.2380667975918465,0.012927147497770613,0.0,1.6,1.5870728525022293,8.54,0.0427,0.8141600875290129,1.0,1.0,0.692836975330688,1.8123449563574106,4.330022944529069,2.6158317481430404,2.0059204531382195,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.1,90.0,250.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.6441666092950611,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,2390.1496445985395,10000.0,12390.14964459854,1.2339226043533826,0.012883876329076737,0.0,1.6,1.5871161236709233,8.54,0.0427,0.8141550206474328,1.0,1.0,0.6441666092950611,1.6781388454576527,4.657180233671266,2.6051316868070997,1.9991889291505753,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,250.0,1.0,300.0,250.0,3,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.519627731498016,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,2551.75666731004,10000.0,12551.756667310041,1.2178152584820736,0.012715693129041788,0.0,1.6,1.5872843068709583,8.54,0.0427,0.8141353270642907,1.0,1.0,0.519627731498016,1.3221924498097006,5.773363926038758,2.5444993976707124,1.9734488690744219,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.2,90.0,240.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.5412788869771,1027.7947000000001,1017.6947,23779.440000000322,2.370092946949549,1563.1626405023276,10000.0,11563.162640502327,1.2175943927916413,0.012713386982585902,0.0,1.6,1.587286613017414,8.54,0.0427,0.814135057023722,1.0,1.0,0.5412788869771,1.6976024084122219,5.542429368997209,3.1362804817547643,2.056482360345603,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
